regime,company,draft,draft_pred,targeted,targeted_pred,best_of_4,best_of_4_pred
unseen-brand,monster,<mention> <mention> is back! <hyperlink>,1490.1,<mention> <mention> is back! <hyperlink>,1490.1,Newer to our show <mention> is all about #Doomsday Prepping! Watch as he dives into the basics of how &amp; when you should stockpile things that will help keep your family safe in case of an apocalypse. <hyperlink>,1429.8
unseen-brand,td,<mention> <mention> #TDA <hyperlink>,619.0,<mention> <mention> #TDA <hyperlink>,619.0,Today marks the launch of our new website: <hyperlink> <hyper link>,1064.7
unseen-brand,td,"It's been a long time coming, but I'm proud to announce that <mention> has been appointed as the new CEO of <mention>. He will take over on 1st January 2020. <hyperlink>",626.5,It's been a long time since I've had a chance to talk to <mention> <hyperlink>,531.2,This is why I want to become Premier of Ireland! <hyperlink>,876.7
unseen-brand,td,<mention> <mention> I'm so proud of you! <hyperlink>,850.5,<mention> <mention> I'm so proud of you! <hyperlink>,850.5,"“Terry, you were there with me when I did this” #RugbyLovers <hyperlink>",1035.3
unseen-brand,equinox,<mention> <mention> #Onyx <hyperlink>,712.7,<mention> <mention> #OnyxShow <hyperlink>,479.7,It’s time to break the ice with a #FingerPoke <hyperlink>,791.3
unseen-brand,desjardins,<mention> <mention> I'm so happy to be here with you today! <hyperlink>,7.2,<mention> <mention> I'm so happy to be here with you today! <hyperlink>,7.2,"Here we go! 📸 #chantalonair on a <mention> break, with <mention>. ✨ ✿✨ #CanadaNewMusicWeek2020 <hyperlink>",23.6
unseen-brand,desjardins,<mention> <mention> We're so excited to announce the launch of our new online banking app! <hyperlink>,13.5,<mention> <mention> We're so excited to announce the launch of our new online banking app! <hyperlink>,13.5,#TODAY #Canada150 #CanadaDay <hyperlink>,22.3
unseen-brand,hertz,It's that time of the year again! 🎄 <hyperlink>,312.1,"We’re excited to announce the launch of our new <mention> app, which will allow you to book and pay for a rental with just a few taps on your phone. #Hertz <hyperlink>",209.6,"We want to get you more sleep, so we built in our #CordellBrowns Sleep System – a seat that allows your car’s driver or passenger seats to recline while driving. <hyperlink> <hyper.>",295.3
unseen-brand,tommy hilfiger,<mention> <mention> is back in the game! <hyperlink>,81.4,<mention> <mention> is back in the game! <hyperlink>,81.4,#FAB412 <hyperlink>,113.7
unseen-brand,unilever,"We’re excited to announce the launch of our new <mention> brand, <mention>, which is now available in more than 100 countries. <hyperlink>",640.6,"We’re excited to announce the launch of our new <mention> brand, <mention>, which is now available in 11 countries across the world. <hyperlink>",552.1,"The #TikTok #SustainabilityChallenge is on! We’ll be featuring our #Biodiversity Champions from <mention> in a series of posts, so please let us know who you think is doing it right by sharing your TikTok video with #BudweiserSustainableLeadership #WorldEnvironmentDay2020 #SustainableBusiness <hyperlink>",550.0
unseen-time,free,<mention> <mention> #Football <hyperlink>,636.4,<mention> <mention> #Futbol <hyperlink>,679.4,#Football #Tottenham <mention> has not been in goal all year but he is back! 👍🏻<hyperlink>,749.8
unseen-time,williams,<mention> <mention> I’m so proud of you! <hyperlink>,193.7,<mention> <mention> I’m so proud of you guys! <hyperlink>,184.2,I'm just so dang grateful to be able to be in my job that I love <hyperlink>,311.3
unseen-time,restaurant,<mention> <mention> #nomac <hyperlink>,171.0,<mention> <mention> #nomac <hyperlink>,171.0,The new #NomacoMia is here! 🙌🏾👌🏾 <hyperlink>,291.9
unseen-time,mcafee,<mention> <mention> #PatMC <hyperlink>,245.8,<mention> <mention> #PatMC <hyperlink>,245.8,#PatMC <mention> <mention>'s got one last word before leaving #PitStop #PatMC #F1 <hyperlink>,496.4
unseen-time,aa,"It's going to be a busy week for #AARoadWatch. We'll be on the road 24 hours a day, 7 days a week, 365 days a year. <hyperlink>",7.6,"It's going to be a busy week for #AARoadWatch. We'll be on the road 24 hours a day, 7 days a week, 365 days a year. <hyperlink>",7.6,#Autosafety <hyperlink>,7.3
unseen-time,cnn,"President Donald Trump says he will not attend the Republican National Convention in Cleveland, Ohio <hyperlink> . Write a trigger tip for this story: <mention> says he won't attend the RNC in Cleveland. <hyper a> <hyper> . #RNC2020 <hyper link>",1235.1,"President Donald Trump says he will not attend the Republican National Convention in Cleveland, Ohio <hyperlink>",1189.1,"How did Trump’s speech go down? Read what some experts had to say about <mention>’s comments on the Republican National Convention last night: ""A lot of people just didn’t like it. We’re going into his second presidential debate on September 16th with the same question on that topic."" — Mark Warner, CNN Senior State Political Correspondent <hyperlink>",1292.6
unseen-time,cnn,"President Donald Trump says he will not attend the Republican National Convention in Cleveland, Ohio <hyperlink> . Write a trigger tip for this story: <mention> says he won't attend the RNC in Cleveland. <hyper a> <hyper> . #RNC2020 <hyper link>",1216.3,"President Donald Trump says he will not attend the Republican National Convention in Cleveland, Ohio <hyperlink>",1186.3,"Former Sen. Barack Obama has criticized Mitt Romney for his ""certainly not perfect record on gun control"" <hyperlink> <hyper for Hillary Clinton'> <hyper link>",1376.2
unseen-time,astro,<mention> <mention> #Astrology <hyperlink>,183.2,<mention> <mention> #Astrology <hyperlink>,183.2,"When your partner is in your life, it’s a different ballgame, isn’t it? 🦷 <hyperlink>",243.2
unseen-time,amazon,<mention> is back in action! <hyperlink>,2197.2,<mention> is back in action! <hyperlink>,2197.2,Wolves #40v40 <hyperlink>,2547.8
unseen-time,aaa,It's that time of year again! <mention> will be in town for the 10th annual #Oklahomahighway100. Get your tickets now! <hyperlink>,80.3,It's that time of year again! <mention> will be in town for the 10th annual #Oklahomahighway100. Get your tickets now! <hyperlink>,80.3,A lot of people have been trying to find ways to keep warm through this cold winter weather but now they're trying to keep their cars running so they can get back home. #TNT <hyperlink>,112.3
unseen-time,amazon,Are you looking for the perfect gift for your loved ones? Look no further! Check out the best deals on <mention> today! <hyperlink>,2260.9,Are you looking for a fun way to spend the weekend with your kids? Check out our new #AmazonKids app! <hyperlink>,2746.4,The #AmazonPrime day is coming soon! Get your hands on some of our best deals &amp; discounts by joining <mention> in participating in this limited time discount offer with Amazon India Prime. Details here : <hyperlink> <hyper link>,3169.9
unseen-time,zumba,#ZUMBA #Zumba <mention> <hyperlink>,146.3,#ZUMBA #Zumba <mention> <hyperlink>,146.3,Zumba Workout with #SaraMendoza <hyperlink>,325.7
unseen-time,asus,The #ROG Phone 2 is now available for pre-order on <mention> <hyperlink>,122.2,The #ROG Phone 2 is now available for pre-order on <mention> <hyperlink>,122.2,"#ROGStrixZ340 is available now on Amazon, #GooglePlay Store &amp; <mention>! Get 3 months of free access to Windows 10 Home from <mention>. Register now <hyperlink> <hyper link>",132.4
unseen-time,emerson,How do you know if you have the right equipment for your application? <hyperlink>,36.7,How do you know if you have the right equipment for your application? <hyperlink>,36.7,"The next time you’re stuck in traffic on your way to work, consider checking out these <mention> smart charging stations &amp; charging docks. #electricvehicles #smartcity #transportation #cleanenergy <hyperlink>",108.9
unseen-time,arm,#ARM2020 is now live! <hyperlink>,4.8,#ARM2020 is now live! <hyperlink>,4.8,"The ARM Science Department has released two new datasets from its field campaign, including data collected at #ARM’s Mobile Facility in Colorado. Learn more here:""><?=$L L> <hyperlink> <mention> < Mention>. <mention>'s blog on using satellite remote sensing to monitor fires is now available! Read More: <hyper link>",4.7
unseen-time,oracle,<mention> <mention> #F1 #RedBullRacing <hyperlink>,3552.1,<mention> <mention> 🇦🇺 🇨🇦 🇩🇪 🇪🇸 🇫🇷 🇬🇧 🇮🇹 🇯🇵 🇳🇰 🇸🇬 🇹🇳 🇺🇸 🏁 <hyperlink>,2482.3,Pete headshot from #RBR <hyperlink>,4244.9
unseen-time,oracle,<mention> <mention> #F1 #RedBullRacing <hyperlink>,3570.4,<mention> <mention> #F1 🇫🇷 🇪🇸 🇺🇸 <hyperlink>,1947.5,We're on track to make history 🤚<hyperlink>,4948.4
unseen-time,williams,<mention> <mention> I'm so proud of you. <hyperlink>,202.7,<mention> <mention> I'm so proud of you. <hyperlink>,202.7,I got my first tattoo. I’m so proud 🤪 #wills <hyperlink>,378.8
unseen-time,blackberry,"We're excited to announce the launch of the <mention> #BlackBerry 1000, the world's first #5G mobile device. Learn more: <hyperlink> <hyper link>",45.5,"We're excited to announce the launch of the <mention> #BlackBerry 1000, the world's first #5G mobile device. Learn more: <hyperlink> <hyper link>",45.5,We’re thrilled to announce that #BlackBerry is now a member of <mention>! #BRL #RMSX <hyperlink>,38.3
unseen-time,cbc,<mention> <mention> is the first Canadian to win the Nobel Prize in Physiology or Medicine. <hyperlink>,262.5,The Canadian government has announced a $100 million investment to help small and medium-sized businesses impacted by the coronavirus pandemic. <hyperlink>,224.1,"The #BCChinatown celebrates Lunar New Year with Chinese culture events including a traditional tea ceremony, dragon dance performance and fireworks display. <hyperlink> <hyper.Write an accordingly: — 'How to be safe during the pandemic'? A guide for kids &amp; parents | BBC News <hyperLink>",302.2
unseen-time,national geographic,"In this photo, you can see a baby giraffe being born in the wild. <hyperlink> . Write a short story about the birth of a giraffe. #giraffes #natgeo #natgeotv #natgeomagazine #natgemag #nature #naturephotography #naturelovers #animals #animalsoftheworld #animalsoftheworldtv #animalsintheworld #animalsintheworl #animalstv #animalsontheworld",8226.9,The world’s most popular animal is also one of the most endangered. <hyperlink> #NationalGeographic #natgeo #natgeotv #natgeomagazine #animals #animalsintheworld #animalsintheworld #animalsthatmatter #animalsthatmatters #animalsThatMatter #animalsThatsMatters #AnimalsThatMatters < hyperlink>,11091.7,The world’s first #frostbitten woman was born in the Arctic Circle — she’s now living on Earth’s south pole <hyperlink> <hyper link>,10739.6
unseen-time,free,<mention> <mention> #HomeFree <hyperlink>,133.8,<mention> <mention> #HomeFree <hyperlink>,133.8,We're still here! <hyperlink>,169.5
unseen-time,cnn,"President Donald Trump says he will not attend the Republican National Convention in Cleveland, Ohio <hyperlink> . Write a trigger tip for this story: <mention> says he won't attend the RNC in Cleveland. <hyper a> <hyper> . #RNC2020 <hyper link>",1233.5,"President Donald Trump says he will not attend the Republican National Convention in Cleveland, Ohio <hyperlink>",1189.1,"""The best thing we've had in America since we got to power is Trump,"" President Joe Biden says <hyperlink> <hyper link>",1447.6
unseen-time,asus,"The ASUS ROG Zephyrus G15 is the ultimate gaming laptop. It’s powerful enough to handle the most demanding games, and it’s sleek and stylish enough to match any outfit. #ROGZephyrusG15 #GamingLaptops <hyperlink>",137.8,The ASUS ROG Phone 2 is now available for pre-order! Get your hands on the world's first 5G smartphone today! <hyperlink>,158.4,"This #GTX680 delivers up to 5.2 Gbps of bandwidth in its PCIe slot, giving you even better performance than your computer's motherboard! Find out more here: <hyperlink> <hyper.ks/cd/gtx-4-gigabits-to-tcp?cid=1660#idp=527567282 <hyper .cs/c/2507/6688/3122",207.0
unseen-time,toyota,It's that time of year again! <mention> is getting ready to hit the road for the 2020 Toyota Tundra Truck Show! <hyperlink>,2.1,It's that time of year again! <mention> will be back in the #ToyotaCamry for the 2020 model year. <hyperlink>,1.4,Get your car loan approved in minutes <hyperlink>,2.3
