id,date,likes,content,username,media,inferred company,vlm_description
11,2019-08-07 19:42:40,2,.<mention> takes the stage at #BHUSA to talk about #IoT and the state of security. <hyperlink>,McAfee,"[Photo(previewUrl='https://pbs.twimg.com/media/EBZDT4uUIAES5gv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EBZDT4uUIAES5gv?format=jpg&name=large')]",mcafee,media could not be processed
12,2020-11-18 00:07:02,0,"#NetZeroHomes: learn the best way to get to zero, from a program, product &amp; builder perspective. November 18th webinar details: <hyperlink> Pictured is 10 megawatt-hours of solar energy that are been exported to the grid at the home of our CEO, Mark Kuntz. <hyperlink>",MitsubishiHVAC,"[Photo(previewUrl='https://pbs.twimg.com/media/EnEIA1NXcAQIJw8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EnEIA1NXcAQIJw8?format=jpg&name=large')]",trane,media could not be processed
13,2020-03-01 15:48:46,672,"The US-Taliban agreement, which sets into motion the potential of a full withdrawal of US troops from Afghanistan, calls for the release of 5,000 Taliban prisoners.
“We have not made a commitment,” Afghan President says. “It’s a sovereign Afghan decision.”
<hyperlink> <hyperlink>",CNN,"[Video(thumbnailUrl='https://pbs.twimg.com/media/ESCO6b9WkAUBI1o.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1234143435654868992/pl/nYicdFU2bqnqhT7Q.m3u8?tag=13&v=f4c', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1234143435654868992/vid/640x360/6x9561bKICzF89Ur.mp4?tag=13', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1234143435654868992/vid/480x270/4gUTJJGGySp_lN0e.mp4?tag=13', bitrate=288000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1234143435654868992/vid/960x540/0lhTA1u0RQ7IYC-O.mp4?tag=13', bitrate=2176000)], duration=288.622, views=72953)]",cnn,no media
14,2018-08-17 13:00:18,2,"#DYK whilst #TickBorneEncephalitis is not found in the UK, it can occur in many popular holiday destinations in Europe. Find out more: <hyperlink> #TickAlert #TravelBug <hyperlink>",Pfizer_UK,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1030439106285846529/pu/img/gv9D5DCC4lQV0vod.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1030439106285846529/pu/pl/61zoQbYCI5MWFrLt.m3u8?tag=5', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1030439106285846529/pu/vid/1280x720/c0TLi3R8jnLeyG-G.mp4?tag=5', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1030439106285846529/pu/vid/320x180/OsN-IfS_N847xkH1.mp4?tag=5', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1030439106285846529/pu/vid/640x360/w5ayc4YSlQ1Of8dq.mp4?tag=5', bitrate=832000)], duration=25.04, views=80)]",pfizer,no media
15,2018-11-20 23:19:06,670,"Survivors of the Parkland shooting were awarded the 2018 International Children's Peace Prize in Cape Town, South Africa. Archbishop Desmond Tutu presented the prize to David Hogg, Emma González, Jaclyn Corin and Matt Deitsch. <hyperlink> <hyperlink>",CNN,"[Photo(previewUrl='https://pbs.twimg.com/media/Dse3ohpXgAAWPRm?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Dse3ohpXgAAWPRm?format=jpg&name=large')]",cnn,media could not be processed
16,2018-02-17 20:28:29,4,Be bold and take your shot. Who knows where the road will take you. #LetsGoPlaces <hyperlink>,ToyotaShowcase,"[Photo(previewUrl='https://pbs.twimg.com/media/DWQ5g4PX0AE8a8c?format=png&name=small', fullUrl='https://pbs.twimg.com/media/DWQ5g4PX0AE8a8c?format=png&name=large')]",toyota,media could not be processed
17,2019-04-16 16:49:47,233,Wow.  What an experience.  Complete with in flight drama and emergency landing.   Stories to tell for life! <hyperlink>,townsendbell,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1118194711288791040/pu/img/cuwLjfBTXn-R9yge.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1118194711288791040/pu/pl/ceCHL6J45v60O5xj.m3u8?tag=8', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1118194711288791040/pu/vid/360x640/QcvB-8wDYif_fWEP.mp4?tag=8', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1118194711288791040/pu/vid/320x568/hd5dnI16vFHvH9fN.mp4?tag=8', bitrate=632000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1118194711288791040/pu/vid/720x1280/MxL-oLEqrHPmq7OF.mp4?tag=8', bitrate=2176000)], duration=6.338, views=10332)]",bell,no media
18,2020-04-18 18:50:39,22,We heart this 💙 Pictured are more than 200 of our Vision Center associates who’ve volunteered at COVID-19 testing sites around the country 👏🙌😊 #ThanksTeamWalmart <hyperlink>,WalmartWorld,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1251583912813494274/pu/img/XeRJe3SSfGMUZTwC.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1251583912813494274/pu/pl/U95SJbUF8CGBSkgy.m3u8?tag=10', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1251583912813494274/pu/vid/1280x720/lQ0K4qLN66cbe39h.mp4?tag=10', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1251583912813494274/pu/vid/640x360/XcU34Hpi1sP--DKD.mp4?tag=10', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1251583912813494274/pu/vid/480x270/K6djtm7kxMgyUCN3.mp4?tag=10', bitrate=256000)], duration=15.061, views=460)]",walmart,no media
19,2020-03-03 19:09:03,0,Linda Ikeji Partners ECOBANK To Empower Young Ladies <hyperlink> <hyperlink>,IndependentNGR,"[Photo(previewUrl='https://pbs.twimg.com/media/ESNQCl_U4AAqTpa?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ESNQCl_U4AAqTpa?format=jpg&name=large')]",independent,media could not be processed
20,2019-05-10 12:40:23,1138,"LOOK: World-class singers Darren Espanto <mention> and Morissette <mention> sing the Philippine rendition of the Disney classic song 'A Whole New World' | <mention>  

📸 <mention> <hyperlink>",cnnphilippines,"[Photo(previewUrl='https://pbs.twimg.com/media/D6NNR1wUYAEsK2B?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D6NNR1wUYAEsK2B?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/D6NNSgVUwAMJS5y?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D6NNSgVUwAMJS5y?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/D6NNSyoUEAEokOv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D6NNSyoUEAEokOv?format=jpg&name=large')]",cnn,media could not be processed
21,2019-12-13 20:24:29,118,".<mention> is investing $1.5 billion into next-gen pickups with a majority going into our #GMWentzville plant to upgrade and prepare the facility. This investment will retain more than 4,000 good paying #USManufacturing jobs. Learn more here: <hyperlink> <hyperlink>",MFG_GM,"[Photo(previewUrl='https://pbs.twimg.com/media/ELsYh1LXsAAzPb_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ELsYh1LXsAAzPb_?format=jpg&name=large')]",general motors,media could not be processed
22,2018-11-21 18:52:56,907,"Supreme Court Chief Justice John Roberts makes a rare statement to rebuke President Trump's criticism of ""Obama judge"" <hyperlink> <hyperlink>",cnnbrk,"[Photo(previewUrl='https://pbs.twimg.com/media/DsjEJPNW0AA2WoO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DsjEJPNW0AA2WoO?format=jpg&name=large')]",cnn,media could not be processed
23,2018-09-11 14:23:02,120,"Tournaments come and go, but the pictures are forever.

The best of the 2018 <mention>: <hyperlink> <hyperlink>",GettySport,"[Photo(previewUrl='https://pbs.twimg.com/media/Dm0dpR7X0AEHCvO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Dm0dpR7X0AEHCvO?format=jpg&name=large')]",getty images,media could not be processed
24,2020-02-23 14:42:45,1309,Twitter suspends 70 pro-Bloomberg accounts for violating its rules <hyperlink> <hyperlink>,cnnbrk,"[Photo(previewUrl='https://pbs.twimg.com/media/ERd8lduW4AERL-t?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ERd8lduW4AERL-t?format=jpg&name=large')]",cnn,media could not be processed
25,2020-07-19 00:07:00,78,Many people are understandably anxious to get outdoors in light of quarantines. Do it safely with these tips for #outdoor activities: <hyperlink> #COVID19 <hyperlink>,MayoClinic,"[Photo(previewUrl='https://pbs.twimg.com/media/EdP2C8RXYAAEkdX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EdP2C8RXYAAEkdX?format=jpg&name=large')]",mayo clinic,media could not be processed
26,2019-02-23 06:25:14,224,"After winning hearts, Nokia 6.1 Plus is getting even better. Now multitask like a pro with the Nokia 6.1 Plus, now with 6GB RAM. Buy now- <hyperlink> <hyperlink>",NokiamobileIN,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1099192965463977984/pu/img/kYphuR1XAhy0DVbT.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1099192965463977984/pu/vid/320x320/9GzP37NuLBwfPjh5.mp4?tag=6', bitrate=432000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1099192965463977984/pu/pl/PCRnT61ufd8lWcX3.m3u8?tag=6', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1099192965463977984/pu/vid/480x480/lcdm2mZ4TijFdP5a.mp4?tag=6', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1099192965463977984/pu/vid/720x720/6pcOFztLstQPFQWB.mp4?tag=6', bitrate=1280000)], duration=17.985, views=1486)]",nokia,no media
27,2018-09-26 16:42:17,961,ALSO NOW (yes it's wild here today): Sen Merkley announcing he has filed a lawsuit challenging Trump admin's lack of release of some Kavanaugh documents as violating balance of powers and unconstitutional. <hyperlink>,LisaDNews,"[Photo(previewUrl='https://pbs.twimg.com/media/DoCNXLsV4AAM2Aw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DoCNXLsV4AAM2Aw?format=jpg&name=large')]",desjardins,media could not be processed
28,2019-06-13 18:47:33,20,"We got a sneak peek at Star Wars Jedi: Fallen Order at #E32019, and we can already feel The Force flowing through us. Read about it on the blog and preorder today. <hyperlink> <hyperlink>",Walmart,"[Photo(previewUrl='https://pbs.twimg.com/media/D89iHvrXUAABkhK?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D89iHvrXUAABkhK?format=jpg&name=large')]",walmart,media could not be processed
29,2020-06-10 22:17:40,352,"Here is <mention>'s most recent statement about JK Rowling, and as a quasi-award winning editor, I am partially qualified to say that the lede is *delicious.*

“It seems JK is good at only one thing: writing fantasy."" <hyperlink>",Nico_Lang,"[Photo(previewUrl='https://pbs.twimg.com/media/EaLwNDTU4AE2BMK?format=png&name=small', fullUrl='https://pbs.twimg.com/media/EaLwNDTU4AE2BMK?format=png&name=large')]",ups,media could not be processed
30,2019-12-23 10:21:46,153,"Now in 1542, #MaryQueenofScots has been queen for nine days....but she’s only fifteen days old....and the lords whom her father, James V, could barely control while he was alive are circling to depose the baby queen. Read here. Last minute present! <hyperlink> <hyperlink>",KateWilliamsme,"[Photo(previewUrl='https://pbs.twimg.com/media/EMdudNJW4AEOejZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EMdudNJW4AEOejZ?format=jpg&name=large')]",williams,media could not be processed
31,2020-11-10 03:00:26,567,"Monster Hunter Rise Concept Art: Great Izuchi.
The leader of the pack inspired by the Japanese Yokai ""Kamaitachi"".
#MHRise <hyperlink>",MHinfo_en,"[Photo(previewUrl='https://pbs.twimg.com/media/Embi-1aUYAEK4hb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Embi-1aUYAEK4hb?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Embi-1KU4AAF9_P?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Embi-1KU4AAF9_P?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Embi-09UcAAuoXm?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Embi-09UcAAuoXm?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Embi-zwUYAEOF1F?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Embi-zwUYAEOF1F?format=jpg&name=large')]",monster,media could not be processed
32,2018-11-29 22:11:56,1,"With our #SalesDevelopmentProgram, you'll learn persuasive selling skills and harness the power of negotiation. Check out this clip to hear more: <hyperlink> <hyperlink>",UnitedRentals,"[Photo(previewUrl='https://pbs.twimg.com/media/DtM-hi2UwAAWH2i?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DtM-hi2UwAAWH2i?format=jpg&name=large')]",united rentals,media could not be processed
33,2019-11-06 01:06:40,0,"Amidst Royal Rumble ln Onicha-Olona Kingdom In Delta, Monarch Gets Staff Of Office <hyperlink> <hyperlink>",IndependentNGR,"[Photo(previewUrl='https://pbs.twimg.com/media/EIpss6XXsAEQc3b?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EIpss6XXsAEQc3b?format=jpg&name=large')]",independent,media could not be processed
34,2020-03-26 10:56:41,168,"Into the semi-finals!

What are your fondest memories of these four drivers in Williams machinery and who will you choose to advance to the final? 🤔

#WeAreWilliams 💙 <hyperlink>",WilliamsRacing,"[Photo(previewUrl='https://pbs.twimg.com/media/EUBrvqeWoAAo8qL?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EUBrvqeWoAAo8qL?format=jpg&name=large')]",williams,media could not be processed
35,2020-06-26 00:56:41,860,"Bill Gates suggests he speaks with Dr. Anthony Fauci more than Fauci speaks with President Trump, saying, ""I talk to him regularly, more often than he talks to some other people."" #CNNTownHall <hyperlink> <hyperlink>",CNN,"[Video(thumbnailUrl='https://pbs.twimg.com/media/EbZh0YpWoAASJDg.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1276315100941627394/vid/640x360/R8hMuUVGKdyF5WIt.mp4?tag=13', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1276315100941627394/pl/aPl-7KNvaFi-Cx2X.m3u8?tag=13&v=518', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1276315100941627394/vid/480x270/HzOgJmEGg4DM5uHC.mp4?tag=13', bitrate=288000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1276315100941627394/vid/1280x720/DXK4PHjid-0yqlAA.mp4?tag=13', bitrate=2176000)], duration=302.302, views=175653)]",cnn,no media
36,2020-03-22 11:18:19,100,"Move over, gin. Distillery moves to producing hand sanitizer to fight COVID-19: <hyperlink> <hyperlink>",CBCNB,"[Photo(previewUrl='https://pbs.twimg.com/media/ETtagTwXQAAns7u?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ETtagTwXQAAns7u?format=jpg&name=large')]",cbc,media could not be processed
37,2020-05-18 15:10:35,0,Benin Palace Announces Arrival Of New Prince <hyperlink> <hyperlink>,IndependentNGR,"[Photo(previewUrl='https://pbs.twimg.com/media/EYTySZmU0AAvG38?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EYTySZmU0AAvG38?format=jpg&name=large')]",independent,media could not be processed
38,2019-07-05 11:32:00,10,"Sandy, muddy terrain exploration? Yes – we’ve got you covered. Visit <hyperlink> to know more! #ToyotaFortuner <hyperlink>",Toyota_Fortuner,"[Photo(previewUrl='https://pbs.twimg.com/media/D-c5XAHUwAUUnQ_?format=png&name=small', fullUrl='https://pbs.twimg.com/media/D-c5XAHUwAUUnQ_?format=png&name=large')]",toyota,media could not be processed
39,2020-03-11 20:15:08,4,Toyota Motor North America Chief Diversity Officer Sandra Phillips Rogers on Diversity and Inclusion -&gt; <hyperlink> #Toyota #Diversity #Inclusion <hyperlink>,ToyotaSD,"[Photo(previewUrl='https://pbs.twimg.com/media/ES2r4X5WkAA8UuA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ES2r4X5WkAA8UuA?format=jpg&name=large')]",toyota,media could not be processed
40,2018-10-03 22:00:02,0,Things change. We’ll be there for you when they do. Visit <hyperlink> to learn more. #AAAInsurance <hyperlink>,AAAOklahoma,"[Photo(previewUrl='https://pbs.twimg.com/media/DonZOhWW0AAyNJr?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DonZOhWW0AAyNJr?format=jpg&name=large')]",aaa,media could not be processed
41,2018-08-02 18:45:43,3,Take some time for you today on #NationalColoringBookDay! <hyperlink>,HobbyLobby,"[Photo(previewUrl='https://pbs.twimg.com/media/DjnZ_AKUwAAEEiH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DjnZ_AKUwAAEEiH?format=jpg&name=large')]",hobby lobby,media could not be processed
42,2019-08-30 12:50:53,189,"Suit up, <mention>! 

#GR63 back in the car for #FP2 

#BelgianGP 🇧🇪 <hyperlink>",WilliamsRacing,"[Photo(previewUrl='https://pbs.twimg.com/media/EDOBw4EXsAAzzUL?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EDOBw4EXsAAzzUL?format=jpg&name=large')]",williams,media could not be processed
43,2019-12-09 16:25:33,1,Things To Know About New FIRS Chairman <hyperlink> <hyperlink>,IndependentNGR,"[Photo(previewUrl='https://pbs.twimg.com/media/ELW7ewUVUAArsX4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ELW7ewUVUAArsX4?format=jpg&name=large')]",independent,media could not be processed
44,2019-01-19 15:22:38,2,Can you spot <mention> killing it on stage? #BacardiNH7 <hyperlink>,NH7,"[Photo(previewUrl='https://pbs.twimg.com/media/DxSJ5BlX4AAWDmf?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DxSJ5BlX4AAWDmf?format=jpg&name=large')]",bacardi,media could not be processed
45,2019-09-21 10:00:00,4,They are so sweet when they are young ☺️ #NOS4A2 <hyperlink>,AMCtvUK,"[Photo(previewUrl='https://pbs.twimg.com/media/EERPFqYXUAA5sJF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EERPFqYXUAA5sJF?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/EERPFrCWsAEPkB4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EERPFrCWsAEPkB4?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/EERPGHfWwAU_znN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EERPGHfWwAU_znN?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/EERPGElXoAE0Dd5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EERPGElXoAE0Dd5?format=jpg&name=large')]",amc,media could not be processed
46,2020-01-24 23:43:21,405,"“I got go to work” - Adeline 

“No, stay here forever with me.” - Skyla

*hug*

“Now get off.” - Skyla <hyperlink>",Aaryn_Williams,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/EPFYz1vXUAE7jdr.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/EPFYz1vXUAE7jdr.mp4', bitrate=0)])]",williams,no media
47,2020-02-17 12:17:25,276,Hero waiter falls over with four plates and doesn't drop a single one <hyperlink>,Independent,"[Video(thumbnailUrl='https://pbs.twimg.com/media/EQwIt66WsAMW0SI.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1228366171147206661/vid/320x320/iOpg-djrPHqbpLtq.mp4?tag=13', bitrate=432000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1228366171147206661/vid/480x480/nFA64muVBO8vXWX9.mp4?tag=13', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1228366171147206661/pl/_e10bmVCtMRFpUgb.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1228366171147206661/vid/720x720/dbTWUGKpexRu0sEn.mp4?tag=13', bitrate=1280000)], duration=27.8, views=91695)]",independent,no media
48,2018-01-26 02:15:25,0,#CiscoDNA Center​ = Happy and productive Network Engineer <hyperlink> <hyperlink>,CiscoCanada,"[Photo(previewUrl='https://pbs.twimg.com/media/DUbsn9pV4AESNoU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DUbsn9pV4AESNoU?format=jpg&name=large')]",cisco,media could not be processed
